,NOM_COM,INSEE_COM,x,y
434,Castelnau-Valence,30072,799785.556621578,6324164.23738022
435,Teyssode,81299,613271.304870898,6283581.96149691
436,Les Cammazes,81055,625299.478620099,6257330.58291858
437,Brouzet-lès-Quissac,30054,779094.79742274,6307625.66921919
438,Pérols,34198,776969.239282351,6274022.51986145
439,Saint-Sauveur-de-Ginestoux,48182,748754.89009484,6400508.05260437
440,Lacoste,34124,734153.903776138,6284316.47084066
441,Saint-Maurice-de-Cazevieille,30285,799582.289789911,6327001.65024154
442,Mons,30173,794275.600001236,6336473.30693942
443,Les Plans,30197,796993.66253217,6338690.45957996
444,Saint-Césaire-de-Gauzignan,30240,796358.537480718,6327117.18438479
445,Ispagnac,48075,742336.385683802,6366745.55560816
446,Barjac,48018,732514.844174788,6380450.05647361
447,Pierrefiche,48112,758007.372303471,6398737.65728315
448,Saint-Léger-de-Peyre,48168,724359.309170914,6389528.1076337
449,Les Mages,30152,793835.251899698,6348335.24335612
450,Marchastel,48091,708524.066087168,6393630.40236929
451,Nasbinals,48104,703886.67362513,6393942.6082514
452,Saint-Laurent-de-Muret,48165,713928.143271031,6388845.39455475
453,Antrenas,48005,720184.219553577,6387725.65975968
454,Le Buisson,48032,717704.699256595,6392227.90618027
455,Saint-Germain-de-Calberte,48155,764744.154463167,6347300.31761795
456,Saint-Privat-de-Vallongue,48178,765749.156587041,6354417.02013503
457,Saint-Denis,30247,799693.017200393,6349568.78117858
458,Saint-Martin-de-Boubaux,48170,773444.561632098,6344319.2197822
459,Robiac-Rochessadoule,30216,787977.31900165,6353233.60790974
460,Peyremale,30194,784453.833192823,6355836.49408155
461,Servas,30318,795404.824460371,6340420.02539719
462,Bessèges,30037,788333.224483953,6355219.5493844
463,La Vernarède,30345,780387.056489278,6354417.29216207
464,Branoux-les-Taillades,30051,777850.725162618,6348215.42807558
465,Rousson,30223,791994.904682288,6344916.89900725
466,Courry,30097,792588.394207988,6356628.1579308
467,Mayran,12142,649951.508245434,6365768.9373904
468,Saint-Jean-de-Valériscle,30268,791120.825890625,6349013.47352193
469,Saint-Julien-de-Cassagnas,30271,796207.440874613,6346688.96085623
470,Navacelles,30187,798829.317313021,6341553.86674151
471,La Grand-Combe,30132,782290.868014643,6348154.42163239
472,Ventalon en Cévennes,48152,770007.444216147,6355583.09527395
473,Saint-Hilaire-de-Lavit,48158,768263.132000245,6350880.78495787
474,Le Martinet,30159,786375.258914908,6351291.9489265
475,Salindres,30305,792863.998586158,6341309.96394314
476,Chambon,30079,781286.70757644,6356906.46944425
