COM,NAME,PTOT
010600019019,Ellerau,6196
010600039039,Henstedt-Ulzburg,27966
010600044044,"Kaltenkirchen, Stadt",23114
010600063063,"Norderstedt, Stadt",80316
010600092092,"Wahlstedt, Stadt",9782
010605005003,Armstedt,373
010605005009,Bimöhlen,1056
010605005013,Borstel (Kreis Segeberg),140
010605005021,Föhrden-Barl,307
010605005023,Fuhlendorf (Kreis Segeberg),431
010605005027,Großenaspe,2976
010605005031,Hagen,476
010605005033,Hardebek,481
010605005035,Hasenkrug,365
010605005037,Heidmoor,308
010605005040,Hitzhusen,1252
010605005056,Mönkloh,249
010605005095,Weddelbrook,1065
010605005099,Wiemersdorf,1691
010605024012,Bornhöved,3315
010605024017,Damsdorf,234
010605024026,Gönnebek,539
010605024072,Schmalensee,490
010605024080,Stocksee,407
010605024086,Tarbek,171
010605024087,Tensfeld,703
010605024089,Trappenkamp,5023
010605034043,Itzstedt,2497
010605034046,Kayhude,1176
010605034058,Nahe,2443
010605034065,Oering,1394
010605034076,Seth,1756
010605034085,Sülfeld,3320
010605043002,Alveslohe,2713
010605043034,Hartenholm,1811
010605043036,Hasenmoor,689
010605043054,Lentföhrden,2611
